"name";"a_lrr";"a";"w";"dist-type";"sd";"Bit";"LUT";"X9"
"sax";NA;256;10;"norm";1;80;65536;NA
"sax";NA;256;12;"norm";1;80;65536;NA
"sax";NA;256;15;"norm";1;80;65536;NA
"sax";NA;256;20;"norm";1;80;65536;NA
"sax";NA;256;30;"norm";1;80;65536;NA
"lrrsaxres";256;256;10;"norm";0.652643842926257;80;65536;65536
"lrrsaxres";256;256;12;"norm";0.652643842926257;80;65536;65536
"lrrsaxres";256;256;15;"norm";0.652643842926257;80;65536;65536
"lrrsaxres";256;256;20;"norm";0.652643842926257;80;65536;65536
"lrrsaxres";256;256;30;"norm";0.652643842926257;80;65536;65536
